id,skills,HTML,CSS,Javascript,MongoDB,SQL,Python,R,Tableau,MATLAB,SAS,Visual Studio,Photoshop,Illustrator,PHP,NodeJS,Sketch,Angular
0,1.1E+16,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
1,1.10001E+16,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
2,1.1E+16,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
3,1.10001E+16,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
4,1.10001E+16,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0
5,1.10001E+16,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
6,1.10001E+16,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
7,1.10001E+16,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
8,1.1E+16,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0
9,1.1E+16,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
10,1.10001E+16,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0
11,1.1E+16,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
12,1.1E+16,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
13,1.10001E+16,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
14,1.1E+16,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0
15,1.1E+16,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0
16,1.10001E+16,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
17,1.1E+16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.10001E+16,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
19,1.10001E+16,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
20,1.1E+16,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
21,1.1E+16,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0
22,1.1E+16,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
23,1.10001E+16,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
24,1.10001E+16,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0
25,1.1E+16,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
26,1.1E+16,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
27,1.1E+16,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0
28,1.10001E+16,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0
29,1.10001E+16,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0
